"name","essround","edition","proddate","idno","cntry","dweight","pweight","prtvgde1","prtvgde2","prtclgde","imbgeco","rlgdnade","ctzcntr","gndr","agea","edulvlb","uemp3m","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",50004,"DE",0.9958686,2.9929698,1,1,1,10,291,1,1,34,620,2,0.00012835317,192,2231
"ESS11e01",11,"1.0","20.06.2024",50032,"DE",0.9958686,2.9929698,3,4,2,7,6666,1,2,42,710,2,0.00012835317,167,2362
"ESS11e01",11,"1.0","20.06.2024",50052,"DE",0.9958686,2.9929698,66,66,66,5,6,2,1,41,321,1,0.00012835317,133,2304
"ESS11e01",11,"1.0","20.06.2024",50059,"DE",0.9958687,2.9929698,2,2,66,8,2,1,2,58,321,2,0.00012835316,205,2234
"ESS11e01",11,"1.0","20.06.2024",50070,"DE",0.99586856,2.9929698,2,4,66,7,6666,1,1,40,720,2,0.00012835317,170,2375
"ESS11e01",11,"1.0","20.06.2024",50083,"DE",1.0267323,2.9929698,2,2,2,8,6666,1,1,46,422,2,0.00012449485,214,2690
"ESS11e01",11,"1.0","20.06.2024",50085,"DE",0.9958686,2.9929698,2,2,2,6,2,1,1,56,322,2,0.00012835317,132,2303
"ESS11e01",11,"1.0","20.06.2024",50090,"DE",0.9958686,2.9929698,6,6,6,2,2,1,1,63,423,2,0.00012835317,204,2267
"ESS11e01",11,"1.0","20.06.2024",50099,"DE",0.9958686,2.9929698,5,5,66,8,6666,1,1,24,322,2,0.00012835317,186,2242
"ESS11e01",11,"1.0","20.06.2024",50100,"DE",0.9958686,2.9929698,77,77,77,6,2,1,1,57,720,2,0.00012835317,152,2337
"ESS11e01",11,"1.0","20.06.2024",50129,"DE",0.9958686,2.9929698,77,77,66,6,1,1,1,66,520,2,0.00012835317,166,2361
"ESS11e01",11,"1.0","20.06.2024",50138,"DE",0.9958686,2.9929698,88,88,88,5,1,1,1,80,520,2,0.00012835317,158,2347
"ESS11e01",11,"1.0","20.06.2024",50148,"DE",0.9958686,2.9929698,4,4,4,7,2,1,1,64,720,1,0.00012835317,151,2335
"ESS11e01",11,"1.0","20.06.2024",50156,"DE",0.9958686,2.9929698,88,88,66,5,2,1,2,38,720,2,0.00012835317,176,2384
"ESS11e01",11,"1.0","20.06.2024",50162,"DE",0.9958686,2.9929698,66,66,4,9,6666,1,1,48,720,2,0.00012835317,158,2346
"ESS11e01",11,"1.0","20.06.2024",50165,"DE",0.99586856,2.9929698,77,77,66,7,6666,1,1,38,720,2,0.00012835317,206,2269
"ESS11e01",11,"1.0","20.06.2024",50195,"DE",0.9958686,2.9929698,1,1,66,8,1,1,1,73,720,2,0.00012835317,211,2279
"ESS11e01",11,"1.0","20.06.2024",50204,"DE",0.9958686,2.9929698,2,1,66,5,1,1,2,49,520,2,0.00012835317,201,2261
"ESS11e01",11,"1.0","20.06.2024",50228,"DE",0.9958686,2.9929698,3,3,55,5,7,1,2,50,322,1,0.00012835317,145,2368
"ESS11e01",11,"1.0","20.06.2024",50267,"DE",0.9958686,2.9929698,2,4,66,7,2,1,2,60,423,2,0.00012835317,213,2283
"ESS11e01",11,"1.0","20.06.2024",50268,"DE",0.9958687,2.9929698,7,7,66,8,6666,1,1,41,710,1,0.00012835316,143,2321
"ESS11e01",11,"1.0","20.06.2024",50275,"DE",0.9958686,2.9929698,1,2,66,3,2,1,2,28,610,2,0.00012835317,191,2251
"ESS11e01",11,"1.0","20.06.2024",50280,"DE",0.99586856,2.9929698,4,4,4,8,6666,1,2,39,321,1,0.00012835317,150,2333
"ESS11e01",11,"1.0","20.06.2024",50293,"DE",0.9958686,2.9929698,4,4,1,5,2,1,2,47,321,2,0.00012835317,137,2311
"ESS11e01",11,"1.0","20.06.2024",50295,"DE",0.9958686,2.9929698,4,4,4,4,4,1,2,62,321,2,0.00012835317,147,2328
"ESS11e01",11,"1.0","20.06.2024",50312,"DE",0.9958686,2.9929698,1,55,1,4,2,1,2,72,322,2,0.00012835317,161,2352
"ESS11e01",11,"1.0","20.06.2024",50368,"DE",0.9958686,2.9929698,1,1,66,4,6666,1,1,39,322,2,0.00012835317,180,2391
"ESS11e01",11,"1.0","20.06.2024",50371,"DE",0.9958686,2.9929698,9,77,66,8,6666,1,1,38,322,1,0.00012835317,152,2337
"ESS11e01",11,"1.0","20.06.2024",50376,"DE",0.9958686,2.9929698,66,66,66,6,2,1,1,39,322,1,0.00012835317,205,2233
"ESS11e01",11,"1.0","20.06.2024",50387,"DE",0.9958686,2.9929698,2,4,66,0,6666,1,1,59,321,2,0.00012835317,211,2278
"ESS11e01",11,"1.0","20.06.2024",50396,"DE",0.9958686,2.9929698,2,4,4,9,6666,1,1,28,313,1,0.00012835317,131,2301
"ESS11e01",11,"1.0","20.06.2024",50420,"DE",0.99586856,2.9929698,7,7,66,7,6666,1,1,75,322,2,0.00012835317,135,2307
"ESS11e01",11,"1.0","20.06.2024",50431,"DE",0.9958686,2.9929698,66,66,66,4,1,1,2,66,213,2,0.00012835317,130,2298
"ESS11e01",11,"1.0","20.06.2024",50444,"DE",0.9958686,2.9929698,2,2,66,4,1,1,2,58,322,1,0.00012835317,149,2332
"ESS11e01",11,"1.0","20.06.2024",50491,"DE",0.99586856,2.9929698,4,4,66,7,6666,1,2,22,213,2,0.00012835317,150,2334
"ESS11e01",11,"1.0","20.06.2024",50495,"DE",0.9958686,2.9929698,88,88,66,5,1,1,1,21,313,2,0.00012835317,203,2265
"ESS11e01",11,"1.0","20.06.2024",50543,"DE",0.9958686,2.9929698,4,55,66,7,2,1,2,48,322,2,0.00012835317,186,2242
"ESS11e01",11,"1.0","20.06.2024",50544,"DE",0.9958687,2.9929698,88,77,66,5,4,1,2,79,229,2,0.00012835316,157,2344
"ESS11e01",11,"1.0","20.06.2024",50552,"DE",0.99586856,2.9929698,1,1,6,5,1,1,1,61,720,2,0.00012835317,210,2276
"ESS11e01",11,"1.0","20.06.2024",50553,"DE",0.99586856,2.9929698,1,5,66,7,1,1,1,60,423,2,0.00012835317,198,2255
"ESS11e01",11,"1.0","20.06.2024",50562,"DE",1.0159696,2.9929698,7,7,66,8,2,1,2,75,322,1,0.00012581369,138,2396
"ESS11e01",11,"1.0","20.06.2024",50585,"DE",0.9958686,2.9929698,2,2,2,6,2,1,2,37,520,2,0.00012835317,136,2309
"ESS11e01",11,"1.0","20.06.2024",50587,"DE",0.9958686,2.9929698,3,3,3,7,6666,1,1,87,720,2,0.00012835317,175,2382
"ESS11e01",11,"1.0","20.06.2024",50627,"DE",0.9958686,2.9929698,66,66,66,8,6666,1,2,17,212,2,0.00012835317,159,2348
"ESS11e01",11,"1.0","20.06.2024",50639,"DE",0.9958686,2.9929698,66,66,66,6,6666,1,1,24,212,1,0.00012835317,129,2296
"ESS11e01",11,"1.0","20.06.2024",50641,"DE",0.9958686,2.9929698,4,7,4,7,1,1,2,38,520,2,0.00012835317,154,2341
"ESS11e01",11,"1.0","20.06.2024",50643,"DE",0.9958686,2.9929698,1,1,66,2,6666,1,2,59,423,2,0.00012835317,200,2260
"ESS11e01",11,"1.0","20.06.2024",50649,"DE",0.9958686,2.9929698,66,66,66,5,3,1,1,20,9999,2,0.00012835317,137,2311
"ESS11e01",11,"1.0","20.06.2024",50690,"DE",0.9958686,2.9929698,66,66,66,5,6666,1,2,18,213,2,0.00012835317,182,2394
"ESS11e01",11,"1.0","20.06.2024",50723,"DE",0.9958686,2.9929698,66,66,66,8,6,2,2,33,620,1,0.00012835317,148,2330
"ESS11e01",11,"1.0","20.06.2024",50745,"DE",0.9958686,2.9929698,66,66,66,7,6666,1,2,26,9999,8,0.00012835317,136,2308
"ESS11e01",11,"1.0","20.06.2024",50762,"DE",0.9958686,2.9929698,66,66,66,5,6666,1,1,41,212,1,0.00012835317,156,2371
"ESS11e01",11,"1.0","20.06.2024",50813,"DE",0.99586856,2.9929698,88,88,66,3,2,1,2,39,321,2,0.00012835317,168,2373
"ESS11e01",11,"1.0","20.06.2024",50833,"DE",0.9958686,2.9929698,88,2,66,4,2,1,2,60,520,2,0.00012835317,180,2392
"ESS11e01",11,"1.0","20.06.2024",50839,"DE",0.9958686,2.9929698,66,66,66,5,2,1,2,22,321,2,0.00012835317,149,2332
"ESS11e01",11,"1.0","20.06.2024",50856,"DE",0.9958687,2.9929698,66,66,66,0,3,2,1,90,520,2,0.00012835316,143,2321
